rpm,air_gap_mm,B0_T,fem_torque_Nm,torque_compensation_Nm,torque_Nm
1700,8.25,0.1234416095,0.0326101962,0.0207300000,0.0533401962
1700,8.50,0.1188478973,0.0302282681,0.0207300000,0.0509582681
1700,8.75,0.1144700677,0.0280423328,0.0207300000,0.0487723328
1700,9.00,0.1102964218,0.0260347317,0.0207300000,0.0467647317
1700,9.25,0.1063159319,0.0241895038,0.0207300000,0.0449195038
1700,9.50,0.1025182057,0.0224922164,0.0207300000,0.0432222164
1700,9.75,0.0988934521,0.0209298123,0.0207300000,0.0416598123
1700,10.00,0.0954324471,0.0194904731,0.0207300000,0.0402204731
1700,10.25,0.0921265026,0.0181634954,0.0207300000,0.0388934954
1700,10.50,0.0889674348,0.0169391806,0.0207300000,0.0376691806
1700,10.75,0.0859475351,0.0158087347,0.0207300000,0.0365387347
1700,11.00,0.0830595421,0.0147641798,0.0207300000,0.0354941798
1700,11.25,0.0802966151,0.0137982731,0.0207300000,0.0345282731
1700,11.50,0.0776523087,0.0129044353,0.0207300000,0.0336344353
1700,11.75,0.0751205491,0.0120766858,0.0207300000,0.0328066858
1700,12.00,0.0726956118,0.0113095845,0.0207300000,0.0320395845
1700,12.25,0.0703720999,0.0105981798,0.0207300000,0.0313281798
1700,12.50,0.0681449248,0.0099379611,0.0207300000,0.0306679611
1700,12.75,0.0660092870,0.0093248176,0.0207300000,0.0300548176
1700,13.00,0.0639606584,0.0087549992,0.0207300000,0.0294849992
1700,13.25,0.0619947661,0.0082250834,0.0207300000,0.0289550834
1700,13.50,0.0601075765,0.0077319439,0.0207300000,0.0284619439
1700,13.75,0.0582952810,0.0072727232,0.0207300000,0.0280027232
1700,14.00,0.0565542822,0.0068448077,0.0207300000,0.0275748077
1800,5.00,0.2095693764,0.0995195712,0.0207300000,0.1202495712
1800,5.25,0.2007356843,0.0913065681,0.0207300000,0.1120365681
1800,5.50,0.1923463792,0.0838341344,0.0207300000,0.1045641344
1800,5.75,0.1843782167,0.0770321597,0.0207300000,0.0977621597
1800,6.00,0.1768089220,0.0708371706,0.0207300000,0.0915671706
1800,6.25,0.1696172066,0.0651917541,0.0207300000,0.0859217541
1800,6.50,0.1627827713,0.0600440156,0.0207300000,0.0807740156
1800,6.75,0.1562862994,0.0553470744,0.0207300000,0.0760770744
1800,7.00,0.1501094410,0.0510585961,0.0207300000,0.0717885961
1800,7.25,0.1442347910,0.0471403619,0.0207300000,0.0678703619
1800,7.50,0.1386458613,0.0435578740,0.0207300000,0.0642878740
1800,7.75,0.1333270508,0.0402799941,0.0207300000,0.0610099941
1800,8.00,0.1282636106,0.0372786156,0.0207300000,0.0580086156
1800,8.25,0.1234416095,0.0345283643,0.0207300000,0.0552583643
1800,8.50,0.1188478973,0.0320063285,0.0207300000,0.0527363285
1800,8.75,0.1144700677,0.0296918141,0.0207300000,0.0504218141
1800,9.00,0.1102964218,0.0275661237,0.0207300000,0.0482961237
1800,9.25,0.1063159319,0.0256123574,0.0207300000,0.0463423574
1800,9.50,0.1025182057,0.0238152337,0.0207300000,0.0445452337
1800,9.75,0.0988934521,0.0221609272,0.0207300000,0.0428909272
1800,10.00,0.0954324471,0.0206369245,0.0207300000,0.0413669245
1800,10.25,0.0921265026,0.0192318925,0.0207300000,0.0399618925
1800,10.50,0.0889674348,0.0179355621,0.0207300000,0.0386655621
1800,10.75,0.0859475351,0.0167386221,0.0207300000,0.0374686221
1800,11.00,0.0830595421,0.0156326253,0.0207300000,0.0363626253
1800,11.25,0.0802966151,0.0146099029,0.0207300000,0.0353399029
1800,11.50,0.0776523087,0.0136634886,0.0207300000,0.0343934886
1800,11.75,0.0751205491,0.0127870499,0.0207300000,0.0335170499
1800,12.00,0.0726956118,0.0119748269,0.0207300000,0.0327048269
1800,12.25,0.0703720999,0.0112215765,0.0207300000,0.0319515765
1800,12.50,0.0681449248,0.0105225231,0.0207300000,0.0312525231
1800,12.75,0.0660092870,0.0098733137,0.0207300000,0.0306033137
1800,13.00,0.0639606584,0.0092699780,0.0207300000,0.0299999780
1800,13.25,0.0619947661,0.0087088920,0.0207300000,0.0294388920
1800,13.50,0.0601075765,0.0081867455,0.0207300000,0.0289167455
1800,13.75,0.0582952810,0.0077005129,0.0207300000,0.0284305129
1800,14.00,0.0565542822,0.0072474269,0.0207300000,0.0279774269
1900,5.00,0.2095693764,0.1050481830,0.0207300000,0.1257781830
1900,5.25,0.2007356843,0.0963789229,0.0207300000,0.1171089229
1900,5.50,0.1923463792,0.0884913730,0.0207300000,0.1092213730
1900,5.75,0.1843782167,0.0813115281,0.0207300000,0.1020415281
1900,6.00,0.1768089220,0.0747723888,0.0207300000,0.0955023888
