load_torque_Nm;current_A
0.01125;0.4577305606
0.01126;0.4578963231
0.01127;0.4580620856
0.01128;0.4582278481
0.01129;0.4583936106
0.0113;0.4585593731
0.01131;0.4587251356
0.01132;0.4588908981
0.01133;0.4590566606
0.01134;0.4592224231
0.01135;0.4593881857
0.01136;0.4595539482
0.01137;0.4597197107
0.01138;0.4598854732
0.01139;0.4600512357
0.0114;0.4602169982
0.01141;0.4603827607
0.01142;0.4605485232
0.01143;0.4607142857
0.01144;0.4608800482
0.01145;0.4610458107
0.01146;0.4612115732
0.01147;0.4613773357
0.01148;0.4615430983
0.01149;0.4617088608
0.0115;0.4618746233
0.01151;0.4620403858
0.01152;0.4622061483
0.01153;0.4623719108
0.01154;0.4625376733
0.01155;0.4627034358
0.01156;0.4628691983
0.01157;0.4630349608
0.01158;0.4632007233
0.01159;0.4633664858
0.0116;0.4635322483
0.01161;0.4636980108
0.01162;0.4638637734
0.01163;0.4640295359
0.01164;0.4641952984
0.01165;0.4643610609
0.01166;0.4645268234
0.01167;0.4646925859
0.01168;0.4648583484
0.01169;0.4650241109
