load_torque_Nm;speed_RPM
0.01082;3603.592526
0.01083;3603.58047
0.01084;3603.568415
0.01085;3603.556359
0.01086;3603.544304
0.01087;3603.532248
0.01088;3603.520193
0.01089;3603.508137
0.0109;3603.496082
0.01091;3603.484027
0.01092;3603.471971
0.01093;3603.459916
0.01094;3603.44786
0.01095;3603.435805
0.01096;3603.423749
0.01097;3603.411694
0.01098;3603.399638
0.01099;3603.387583
0.011;3603.375527
0.01101;3603.363472
0.01102;3603.351417
0.01103;3603.339361
0.01104;3603.327306
0.01105;3603.31525
0.01106;3603.303195
0.01107;3603.291139
0.01108;3603.279084
0.01109;3603.267028
0.0111;3603.254973
0.01111;3603.242917
0.01112;3603.230862
0.01113;3603.218807
0.01114;3603.206751
0.01115;3603.194696
0.01116;3603.18264
0.01117;3603.170585
0.01118;3603.158529
0.01119;3603.146474
0.0112;3603.134418
0.01121;3603.122363
0.01122;3603.110307
0.01123;3603.098252
0.01124;3603.086197
0.01125;3603.074141
0.01126;3603.062086
0.01127;3603.05003
0.01128;3603.037975
0.01129;3603.025919
0.0113;3603.013864
0.01131;3603.001808
0.01132;3602.989753
0.01133;3602.977697
0.01134;3602.965642
0.01135;3602.953586
0.01136;3602.941531
0.01137;3602.929476
0.01138;3602.91742
0.01139;3602.905365
0.0114;3602.893309
0.01141;3602.881254
0.01142;3602.869198
0.01143;3602.857143
0.01144;3602.845087
0.01145;3602.833032
0.01146;3602.820976
0.01147;3602.808921
0.01148;3602.796866
0.01149;3602.78481
0.0115;3602.772755
0.01151;3602.760699
0.01152;3602.748644
0.01153;3602.736588
0.01154;3602.724533
0.01155;3602.712477
0.01156;3602.700422
0.01157;3602.688366
0.01158;3602.676311
0.01159;3602.664256
0.0116;3602.6522
0.01161;3602.640145
0.01162;3602.628089
0.01163;3602.616034
0.01164;3602.603978
0.01165;3602.591923
0.01166;3602.579867
0.01167;3602.567812
0.01168;3602.555756
0.01169;3602.543701
0.0117;3602.531646
0.01171;3602.51959
0.01172;3602.507535
0.01173;3602.495479
0.01174;3602.483424
0.01175;3602.471368
0.01176;3602.459313
0.01177;3602.447257
0.01178;3602.435202
0.01179;3602.423146
0.0118;3602.411091
0.01181;3602.399036
0.01182;3602.38698
0.01183;3602.374925
0.01184;3602.362869
0.01185;3602.350814
0.01186;3602.338758
0.01187;3602.326703
0.01188;3602.314647
0.01189;3602.302592
0.0119;3602.290536
0.01191;3602.278481
0.01192;3602.266426
0.01193;3602.25437
0.01194;3602.242315
0.01195;3602.230259
0.01196;3602.218204
0.01197;3602.206148
0.01198;3602.194093
0.01199;3602.182037
0.012;3602.169982
0.01201;3602.157926
0.01202;3602.145871
0.01203;3602.133816
0.01204;3602.12176
0.01205;3602.109705
0.01206;3602.097649
0.01207;3602.085594
0.01208;3602.073538
0.01209;3602.061483
0.0121;3602.049427
0.01211;3602.037372
0.01212;3602.025316
0.01213;3602.013261
0.01214;3602.001206
0.01215;3601.98915
0.01216;3601.977095
0.01217;3601.965039
0.01218;3601.952984
0.01219;3601.940928
0.0122;3601.928873
0.01221;3601.916817
0.01222;3601.904762
0.01223;3601.892706
0.01224;3601.880651
0.01225;3601.868596
0.01226;3601.85654
0.01227;3601.844485
0.01228;3601.832429
0.01229;3601.820374
0.0123;3601.808318
0.01231;3601.796263
0.01232;3601.784207
0.01233;3601.772152
0.01234;3601.760096
0.01235;3601.748041
0.01236;3601.735986
0.01237;3601.72393
0.01238;3601.711875
0.01239;3601.699819
0.0124;3601.687764
0.01241;3601.675708
0.01242;3601.663653
0.01243;3601.651597
0.01244;3601.639542
0.01245;3601.627486
0.01246;3601.615431
0.01247;3601.603376
0.01248;3601.59132
0.01249;3601.579265
0.0125;3601.567209
0.01251;3601.555154
0.01252;3601.543098
0.01253;3601.531043
0.01254;3601.518987
0.01255;3601.506932
0.01256;3601.494876
0.01257;3601.482821
0.01258;3601.470766
0.01259;3601.45871
0.0126;3601.446655
0.01261;3601.434599
0.01262;3601.422544
0.01263;3601.410488
0.01264;3601.398433
