load_torque_Nm;efficiency_percent
0.01138;38.90131257
0.01139;38.92133729
0.0114;38.94134737
0.01141;38.9613428
0.01142;38.98132361
0.01143;39.00128982
0.01144;39.02124144
0.01145;39.04117848
0.01146;39.06110096
0.01147;39.0810089
0.01148;39.10090231
0.01149;39.12078121
0.0115;39.14064561
0.01151;39.16049553
0.01152;39.18033099
0.01153;39.200152
0.01154;39.21995857
0.01155;39.23975072
0.01156;39.25952847
0.01157;39.27929184
0.01158;39.29904083
0.01159;39.31877546
0.0116;39.33849575
0.01161;39.35820172
0.01162;39.37789337
0.01163;39.39757073
0.01164;39.41723381
0.01165;39.43688263
0.01166;39.45651719
0.01167;39.47613752
0.01168;39.49574364
0.01169;39.51533554
0.0117;39.53491326
0.01171;39.55447681
0.01172;39.5740262
0.01173;39.59356144
0.01174;39.61308256
0.01175;39.63258956
0.01176;39.65208247
0.01177;39.67156129
0.01178;39.69102605
0.01179;39.71047675
0.0118;39.72991341
0.01181;39.74933605
0.01182;39.76874469
0.01183;39.78813933
0.01184;39.80751999
0.01185;39.82688668
0.01186;39.84623943
0.01187;39.86557825
0.01188;39.88490314
0.01189;39.90421414
0.0119;39.92351124
0.01191;39.94279447
0.01192;39.96206383
0.01193;39.98131936
0.01194;40.00056105
0.01195;40.01978893
0.01196;40.039003
0.01197;40.05820329
0.01198;40.0773898
0.01199;40.09656256
0.012;40.11572158
0.01201;40.13486686
0.01202;40.15399844
0.01203;40.17311631
0.01204;40.1922205
0.01205;40.21131102
0.01206;40.23038788
0.01207;40.2494511
0.01208;40.26850069
0.01209;40.28753667
0.0121;40.30655905
0.01211;40.32556785
0.01212;40.34456307
0.01213;40.36354474
0.01214;40.38251287
0.01215;40.40146748
0.01216;40.42040856
0.01217;40.43933615
0.01218;40.45825026
0.01219;40.4771509
0.0122;40.49603808
0.01221;40.51491181
0.01222;40.53377212
0.01223;40.55261902
0.01224;40.57145251
0.01225;40.59027262
0.01226;40.60907936
0.01227;40.62787274
0.01228;40.64665278
0.01229;40.66541948
0.0123;40.68417287
0.01231;40.70291296
0.01232;40.72163976
0.01233;40.74035329
0.01234;40.75905356
0.01235;40.77774058
0.01236;40.79641436
0.01237;40.81507493
0.01238;40.8337223
0.01239;40.85235647
0.0124;40.87097746
0.01241;40.8895853
0.01242;40.90817998
0.01243;40.92676152
0.01244;40.94532995
0.01245;40.96388526
0.01246;40.98242748
0.01247;41.00095661
0.01248;41.01947268
0.01249;41.0379757
0.0125;41.05646567
0.01251;41.07494262
0.01252;41.09340655
0.01253;41.11185748
0.01254;41.13029543
0.01255;41.1487204
0.01256;41.16713241
0.01257;41.18553148
0.01258;41.20391761
0.01259;41.22229082
0.0126;41.24065113
0.01261;41.25899855
0.01262;41.27733308
0.01263;41.29565475
